id,name,type,degree
fb0f4df56fab164ec48722f0,Microsoft,Company,17
cc9c6ee3857729e221d3f6de,ServiceNow,Company,9
773eeb9b7cc008bff365fcdd,OpenAI,Company,7
7b29988cfc0dac3059f47a0e,L T Technology Services,Company,5
110cfb16be66531da841ce26,Thales,Company,5
24efe6cedc09a12ec8c3eff2,Synopsys,Company,5
f4adaa883e92217c80dab7fb,ChatGPT,Technology,4
8aaf4c8f85ca26a0418b8601,Dell,Company,4
fd90caf986a66450a7dd026b,Intel,Company,4
909fcd9c188c8c2429afa468,Google Cloud,Company,4
68b3544368862fc263941c8d,Amazon,Company,4
eafcb059179145f50faf2cb0,AWS,Company,4
7c006ebf3fc788f4d55aae68,Samsung,Company,3
35c663762dedf469a841fdb9,Dell Technologies Inc.,Company,3
8568cefc2b16b1699bc0d89f,Aqara,Company,3
